Metric,Value
detailedplace__design__instance__displacement__total,2118.03
detailedplace__design__instance__displacement__mean,2.729
detailedplace__design__instance__displacement__max,8.667
detailedplace__route__wirelength__estimated,12944
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,11.6194
detailedplace__timing__drv__max_slew_limit,0.914732
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.915993
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.000357996
detailedplace__power__switching__total,9.40401e-05
detailedplace__power__leakage__total,1.19395e-07
detailedplace__power__total,0.000452155
detailedplace__design__io,45
detailedplace__design__die__area,32880.6
detailedplace__design__core__area,30427.5
detailedplace__design__instance__count,776
detailedplace__design__instance__area,10040.9
detailedplace__design__instance__count__stdcell,776
detailedplace__design__instance__area__stdcell,10040.9
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.329994
detailedplace__design__instance__utilization__stdcell,0.329994
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,11.6866
globalplace__power__internal__total,0.000347661
globalplace__power__switching__total,9.09094e-05
globalplace__power__leakage__total,1.08201e-07
globalplace__power__total,0.000438679
globalplace__design__io,45
globalplace__design__die__area,32880.6
globalplace__design__core__area,30427.5
globalplace__design__instance__count,647
globalplace__design__instance__area,9079.26
globalplace__design__instance__count__stdcell,647
globalplace__design__instance__area__stdcell,9079.26
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.29839
globalplace__design__instance__utilization__stdcell,0.29839
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,11.6211
placeopt__timing__drv__max_slew_limit,0.914836
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.91603
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.000357936
placeopt__power__switching__total,9.39772e-05
placeopt__power__leakage__total,1.19395e-07
placeopt__power__total,0.000452032
placeopt__design__io,45
placeopt__design__die__area,32880.6
placeopt__design__core__area,30427.5
placeopt__design__instance__count,776
placeopt__design__instance__area,10040.9
placeopt__design__instance__count__stdcell,776
placeopt__design__instance__area__stdcell,10040.9
placeopt__design__instance__count__macros,0
placeopt__design__instance__area__macros,0
placeopt__design__instance__utilization,0.329994
placeopt__design__instance__utilization__stdcell,0.329994
placeopt__flow__warnings__count,0
placeopt__flow__errors__count,0
design__violations,0
globalroute__design__instance__displacement__total,0
globalroute__design__instance__displacement__mean,0
globalroute__design__instance__displacement__max,0
globalroute__route__wirelength__estimated,12722.3
globalroute__design__instance__count__setup_buffer,0
globalroute__design__instance__count__hold_buffer,0
globalroute__antenna_diodes_count,0
globalroute__design__violations,0
globalroute__antenna__violating__nets,0
globalroute__antenna__violating__pins,0
globalroute__timing__setup__tns,0
globalroute__timing__setup__ws,11.611
globalroute__clock__skew__setup,0.0129056
globalroute__clock__skew__hold,0.0129056
globalroute__timing__drv__max_slew_limit,0.891019
globalroute__timing__drv__max_slew,0
globalroute__timing__drv__max_cap_limit,0.779011
globalroute__timing__drv__max_cap,0
globalroute__timing__drv__max_fanout_limit,8
globalroute__timing__drv__max_fanout,1
globalroute__timing__drv__setup_violation_count,0
globalroute__timing__drv__hold_violation_count,0
globalroute__power__internal__total,0.000374496
globalroute__power__switching__total,0.000144997
globalroute__power__leakage__total,1.22787e-07
globalroute__power__total,0.000519616
globalroute__design__io,45
globalroute__design__die__area,32880.6
globalroute__design__core__area,30427.5
globalroute__design__instance__count,799
globalroute__design__instance__area,10226
globalroute__design__instance__count__stdcell,799
globalroute__design__instance__area__stdcell,10226
globalroute__design__instance__count__macros,0
globalroute__design__instance__area__macros,0
globalroute__design__instance__utilization,0.336076
globalroute__design__instance__utilization__stdcell,0.336076
globalroute__flow__warnings__count,0
globalroute__flow__errors__count,0
cts__design__instance__displacement__total,0
cts__design__instance__displacement__mean,0
cts__design__instance__displacement__max,0
cts__route__wirelength__estimated,12722.3
cts__design__instance__count__setup_buffer,0
cts__design__instance__count__hold_buffer,0
cts__design__violations,0
cts__timing__setup__tns,0
cts__timing__setup__ws,11.6193
cts__clock__skew__setup,0.00185085
cts__clock__skew__hold,0.00185085
cts__timing__drv__max_slew_limit,0.850527
cts__timing__drv__max_slew,0
cts__timing__drv__max_cap_limit,0.694512
cts__timing__drv__max_cap,0
cts__timing__drv__max_fanout_limit,8
cts__timing__drv__max_fanout,1
cts__timing__drv__setup_violation_count,0
cts__timing__drv__hold_violation_count,0
cts__power__internal__total,0.000372441
cts__power__switching__total,0.000118798
cts__power__leakage__total,1.22787e-07
cts__power__total,0.000491362
cts__design__io,45
cts__design__die__area,32880.6
cts__design__core__area,30427.5
cts__design__instance__count,799
cts__design__instance__area,10226
cts__design__instance__count__stdcell,799
cts__design__instance__area__stdcell,10226
cts__design__instance__count__macros,0
cts__design__instance__area__macros,0
cts__design__instance__utilization,0.336076
cts__design__instance__utilization__stdcell,0.336076
cts__flow__warnings__count,0
cts__flow__errors__count,0
finish__design_powergrid__voltage__worst__net:VPWR__corner:default,1.19996
finish__design_powergrid__drop__average__net:VPWR__corner:default,1.19999
finish__design_powergrid__drop__worst__net:VPWR__corner:default,4.29577e-05
finish__design_powergrid__voltage__worst__net:VGND__corner:default,4.55309e-05
finish__design_powergrid__drop__average__net:VGND__corner:default,8.8934e-06
finish__design_powergrid__drop__worst__net:VGND__corner:default,4.55309e-05
finish__design__instance__count__class:fill_cell,449
finish__design__instance__count__class:other,1558
finish__design__instance__count__class:buffer,70
finish__design__instance__count__class:clock_buffer,17
finish__design__instance__count__class:timing_repair_buffer,55
finish__design__instance__count__class:inverter,32
finish__design__instance__count__class:clock_inverter,6
finish__design__instance__count__class:sequential_cell,74
finish__design__instance__count__class:multi_input_combinational_cell,545
finish__timing__setup__tns,0
finish__timing__setup__ws,11.5654
finish__clock__skew__setup,0.016286
finish__clock__skew__hold,0.016286
finish__timing__drv__max_slew_limit,0.8551
finish__timing__drv__max_slew,0
finish__timing__drv__max_cap_limit,0.70374
finish__timing__drv__max_cap,0
finish__timing__drv__max_fanout_limit,8
finish__timing__drv__max_fanout,1
finish__timing__drv__setup_violation_count,0
finish__timing__drv__hold_violation_count,0
finish__power__internal__total,0.000375596
finish__power__switching__total,0.000159261
finish__power__leakage__total,1.30087e-06
finish__power__total,0.000536158
finish__design__io,45
finish__design__die__area,32880.6
finish__design__core__area,30427.5
finish__design__instance__count,2357
finish__design__instance__area,29262.6
finish__design__instance__count__stdcell,2357
finish__design__instance__area__stdcell,29262.6
finish__design__instance__count__macros,0
finish__design__instance__area__macros,0
finish__design__instance__utilization,0.961717
finish__design__instance__utilization__stdcell,0.961717
finish__flow__warnings__count,9
finish__flow__errors__count,0
detailedroute__route__net,886
detailedroute__route__net__special,2
detailedroute__route__drc_errors__iter:1,491
detailedroute__route__wirelength__iter:1,15044
detailedroute__route__drc_errors__iter:2,218
detailedroute__route__wirelength__iter:2,14978
detailedroute__route__drc_errors__iter:3,213
detailedroute__route__wirelength__iter:3,14918
detailedroute__route__drc_errors__iter:4,28
detailedroute__route__wirelength__iter:4,14782
detailedroute__route__drc_errors__iter:5,12
detailedroute__route__wirelength__iter:5,14757
detailedroute__route__drc_errors__iter:6,0
detailedroute__route__wirelength__iter:6,14760
detailedroute__route__drc_errors,0
detailedroute__route__wirelength,14760
detailedroute__route__vias,4554
detailedroute__route__vias__singlecut,4554
detailedroute__route__vias__multicut,0
detailedroute__antenna__violating__nets,0
detailedroute__antenna__violating__pins,0
detailedroute__flow__warnings__count,10
detailedroute__flow__errors__count,0
floorplan__design__instance__count__setup_buffer,0
floorplan__design__instance__count__hold_buffer,0
run__flow__platform__time_units,1ns
run__flow__platform__capacitance_units,1pF
run__flow__platform__resistance_units,1kohm
run__flow__platform__voltage_units,1v
run__flow__platform__current_units,1uA
run__flow__platform__power_units,1pW
run__flow__platform__distance_units,1um
floorplan__timing__setup__tns,0
floorplan__timing__setup__ws,11.693
floorplan__power__internal__total,0.000347229
floorplan__power__switching__total,8.73257e-05
floorplan__power__leakage__total,1.08201e-07
