Metric,Value
detailedplace__design__instance__displacement__total,75474.3
detailedplace__design__instance__displacement__mean,4.063
detailedplace__design__instance__displacement__max,17.619
detailedplace__route__wirelength__estimated,772828
detailedplace__design__violations,0
detailedplace__timing__setup__tns,0
detailedplace__timing__setup__ws,5.86381
detailedplace__timing__drv__max_slew_limit,0.90499
detailedplace__timing__drv__max_slew,0
detailedplace__timing__drv__max_cap_limit,0.922233
detailedplace__timing__drv__max_cap,0
detailedplace__timing__drv__max_fanout_limit,8
detailedplace__timing__drv__max_fanout,0
detailedplace__timing__drv__setup_violation_count,0
detailedplace__timing__drv__hold_violation_count,0
detailedplace__power__internal__total,0.00700872
detailedplace__power__switching__total,0.000446283
detailedplace__power__leakage__total,3.34407e-06
detailedplace__power__total,0.00745835
detailedplace__design__io,45
detailedplace__design__die__area,403896
detailedplace__design__core__area,392400
detailedplace__design__instance__count,18575
detailedplace__design__instance__area,285401
detailedplace__design__instance__count__stdcell,18575
detailedplace__design__instance__area__stdcell,285401
detailedplace__design__instance__count__macros,0
detailedplace__design__instance__area__macros,0
detailedplace__design__instance__utilization,0.727322
detailedplace__design__instance__utilization__stdcell,0.727322
detailedplace__flow__warnings__count,0
detailedplace__flow__errors__count,0
flow__warnings__count,0
flow__errors__count,0
globalplace__timing__setup__tns,0
globalplace__timing__setup__ws,5.92888
globalplace__power__internal__total,0.00694872
globalplace__power__switching__total,0.000422903
globalplace__power__leakage__total,2.9581e-06
globalplace__power__total,0.00737458
globalplace__design__io,45
globalplace__design__die__area,403896
globalplace__design__core__area,392400
globalplace__design__instance__count,14971
globalplace__design__instance__area,255936
globalplace__design__instance__count__stdcell,14971
globalplace__design__instance__area__stdcell,255936
globalplace__design__instance__count__macros,0
globalplace__design__instance__area__macros,0
globalplace__design__instance__utilization,0.652231
globalplace__design__instance__utilization__stdcell,0.652231
globalplace__flow__warnings__count,0
globalplace__flow__errors__count,0
placeopt__timing__drv__floating__nets,0
placeopt__timing__drv__floating__pins,0
placeopt__timing__setup__tns,0
placeopt__timing__setup__ws,5.86119
placeopt__timing__drv__max_slew_limit,0.905171
placeopt__timing__drv__max_slew,0
placeopt__timing__drv__max_cap_limit,0.922396
placeopt__timing__drv__max_cap,0
placeopt__timing__drv__max_fanout_limit,8
placeopt__timing__drv__max_fanout,0
placeopt__timing__drv__setup_violation_count,0
placeopt__timing__drv__hold_violation_count,0
placeopt__power__internal__total,0.00700865
placeopt__power__switching__total,0.000445974
placeopt__power__leakage__total,3.34407e-06
placeopt__power__total,0.00745796
